000_Brasserie,Bière,,Type_Precis,Type_gen,,Style,Kingdom,UntappdRating,UntappdNumber,IBU,Cara60,Cara160,Caraaroma,Carabohemian,Chocolate,Crystal60L,Crystal foncé,Munich,Pilsner,2 rangs,Vienna,Wheat,Cascade Québec,Citra,Centennial,Cascade,Cascade amarillo,Goldings,Mandarina Bavaria,Mittlefruh,Mozaïc,Nugget,Perle,Simcoe,Willamette,Unspecified,Blé,Carafa,Avoine,Seigle,Hibiscus,Coriandre,Unspecified,Poivre,Cerise,Noix,Cafe,Cereales,Epices,Coriandre,Fleur,Herbacee,Noisette,Poivre,Réglisse,Romarin,Sel de mer,Sèche,Agrume,Ananas,Bleuet,Framboise surette,Fruit de la passion,Fruite,Fruit rouge,Génévrier,Mure,Lime,Limonade surette,Pamplemousse,Zeste d'orange,Caramel,Chocolat,Chocolat Noir,Miel,Boise,Bourbon,Brandy,Whisky,Non-specifié,Terreux,Betterave,Champignon,Salade verte,Pimets,Fromage,Fromage de chèvre,Fromage fort,Gateau,Chocolat,Pain aux bananes,Pralines,Tarte,Barbacue,Boeuf,Brochette,Burger,Cheeseburger,Cochon,Gibier,Poisson,Poulet,Viandes fumées,Pad thai,Type de contenant,,,,,,,,,,,,,,,,,,,
Brasseurs RJ,Brune d'achouffe,RJBruneAchouffe,Brown,Brown,Dark/Brown,Belgian,Ale,3.47,946,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Brasseurs RJ,Canon,RJCanon,Doppelbock,Doppelbock,Bock,German,Lager,3.32,1028,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Brasseurs RJ,Cheval blanc double,RJChevalBlancDouble,IPA,IPA,PaleAle,Belgian,Ale,3.57,2597,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Brasseurs RJ,Coup de grisou,RJCoupGrisou,Specialty,Specialty,Specialty,,,3.52,2975,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Brasseurs RJ,Death Valley,RJDeathValley,DoubleIPA,IPA,StrongPaleAle,,Ale,3.55,4053,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Brasseurs RJ,Lochness,RJLochness,WeeHeavy,Scotch,StrongPaleAle,Scotish,Ale,3.26,987,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Brasseurs Sans Gluten,APA,GlutenbergAPA,APA,APA,PaleAle,American,Ale,3,3490,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
BVM BREWERY,Blonde,BVMBlonde,Blonde,Blonde,PaleAle,American,Ale,2.6,533,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVM BREWERY,Rousse,BVMRousse,Rousse,Amber,PaleAle,American,Ale,2.95,169,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BW,Sein d'esprit,BWSeinDEsprit,Blanche,Hefeweizen,Weissbier,German,Ale,3.46,621,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frampton brasse,Nuit d'automne,FramptonBrasseNuitdAutomne,Brown,Brown,Dark/Brown,,Ale,3.78,1089,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Frampton brasse,Sieur de Léry,FramptonBrasseSieurLery,Pilsner,Pilsner,Pilsner,German,Lager,3.3,488,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HELM microbrasserie,Bernard,HelmBernard,APA,APA,PaleAle,American,Ale,3.44,1139,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
HELM microbrasserie,Bloomfield,HelmBloomfield,BlancheBle,Hefeweizen,Weissbier,German,Ale,3.55,94,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
HELM microbrasserie,Casgrainator,HelmCasgrainator,Doppelbock,Doppelbock,bock,German,Lager,3.51,31,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
HELM microbrasserie,Clark,HelmClark,Pilsener,Pilsner,Pilsner,German,Lager,3.31,402,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
HELM microbrasserie,Du parc,HelmParc,Brown,Brown,Brown,,Ale,3.47,96,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
HELM microbrasserie,Esplanade,HelmEsplanade,Blonde,Blonde,PaleAle,American,Ale,3.27,61,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
HELM microbrasserie,Fairmount,HelmFairmount,CreamAle,CreamAle,CreamAle,,Ale,3.35,125,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
HELM microbrasserie,Hutchi-blanco,HelmHutchiblanco,IPABlanche,IPA,PaleAle,,Ale,3.57,29,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
HELM microbrasserie,Hutchi-blondi,HelmHutchiBlondie,APA,APA,PaleAle,American,Ale,3.74,209,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
HELM microbrasserie,Mild thing,HelmMildThing,MildDark,Mild,Mild,English,Ale,3.66,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
HELM microbrasserie,Smash,HelmSmash,Amber,ViennaLager,ViennaLager,German,Lager,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
HELM microbrasserie,St-Viateur,HelmStViateur,OatmealStout,Stout,Stout,,Ale,3.55,165,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
HELM microbrasserie,Sure la brosse,HelmSurelabrosse,BerlinerWeisse,BerlinerWeisse,Weissbier,German,Ale,3.69,63,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
HELM microbrasserie,Van Horne,HelmVanHorne,Bitter,Bitter,PaleAle,English,Ale,3.4,174,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
Hopera,American brown ale,HoperaBrownAle,Brown,Brown,Brown,American,Ale,3.54,301,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopfenstark,Gose,HopfenstarkGose,Gose,Gose,Weissbier,German,Ale,3.43,233,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown375,,,,,,,,,,,,,,,,,,,
Labatt,Bleu,LabattBleu,Pilsner,Pilsner,Pilsner,,Lager,2.88,92642,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'Espace Public-Brasseurs De Quartier,Bière de balcon,EspacePubliqueBalconFut,Sour,Sour,Lambic,,Ale,3.63,1294,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Can,VOLUME???,,,,,,,,,,,,,,,,,,
L'Espace Public-Brasseurs De Quartier,Bière de balcon,EspacePubliqueBalcon,Sour,Sour,Lambic,,Ale,3.63,1294,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,,,,,,,,,
L'Espace Public-Brasseurs De Quartier,Bière de gazebo,EspacePubliqueGazebo,Gruit,Farmhouse,Cervoise,Belgian,Ale,3.73,406,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown500,,,,,,,,,,,,,,,,,,,
Le corsair microbrasserie,Porter,CorsairPorter,PorterBaltique,Porter,Porter,,Ale,3.96,47,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,Can473,,,,,,,,,,,,,,,,,,,
Le Saint Bock,Malédiction,StBockMalediction,MilkStout,MilkStout,Stout,,Ale,3.86,1539,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les brasseurs du Nord,Blanche,BorealeBlanche,Blanche,Witbier,Witbier,Belgian,Ale,3.23,2666,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Les brasseurs du Nord,Blonde,BorealeBlonde,Blonde,Blonde,Blonde,,Ale,3.14,4100,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les brasseurs du Nord,Cuivree,BorealeCuivree,StrongAle,StrongAle,StrongPaleAle,American,Ale,3.3,987,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les brasseurs du Nord,Double blanche du lac,BorealeDoubleBlanche,DoubleBlanche,Witbier,Witbier,,,3.46,1322,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Les brasseurs du Nord,IPA,BorealeIPA,APA,APA,PaleAle,American,Ale,3.45,6430,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Les brasseurs du Nord,Rousse,BorealeRousse,Rousse,Amber,PaleAle,American,Ale,3.29,5057,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
les frères houblon,Saint-Severe,LesFreresHoublonSaintSeverePasseeDate,Farmhouse,Farmhouse,Farmhouse,,Ale,3.09,209,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loup rouge,WSW,LoupRougeWitbier,BlancheBle,Witbier,Witbier,Belgian,Ale,3.41,268,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro Brasserie Le Grimoire ,Armure,GrimoireArmure,Fruit,Fruit,Lambic,,Ale,3.28,298,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro Brasserie Le Grimoire ,Goliath,GrimoireGoliath,Brown,Brown,Brown,American,Ale,3.2,416,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown500,,,,,,,,,,,,,,,,,,,
Micro Brasserie Le Grimoire ,Vitale,GrimoireVitale,Fruit,Fruit,Lambic,,Ale,2.99,229,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro-Brasserie L'Alchimiste,Ecossaise,AlchimisteEcossaise,Scotch,Scotch,StrongPaleAle,Scotish,Ale,3.32,1815,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro-Brasserie L'Alchimiste,IPA,AlchimisteIPA,IPA,IPA,PaleAle,English,Ale,3.23,2533,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Micro-Brasserie L'Alchimiste,Rousse,AlchimisteRousse,Rousse,Amber,PaleAle,American,Lager,3.27,301,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Microbrasserie du Lac St-Jean,Guimbarde,LSJGuimbarde,APA,APA,PaleAle,American,Ale,3.69,145,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,INTROUVABLE EN LIGNE,,,,,,,,,,,,,,,,,,
Microbrasserie  Les Grands Bois,Super Pause,LGBSuperPause,APA,APA,PaleAle,American,Ale,3.84,1615,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbrasserie Berthiaume,L'eau claire,DomaineBerthiaumeLEauClaire,Tripel,Tripel,Blonde,Belgian,Ale,3.6,100,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbrasserie charlevoix,Dominus Vobiscum Triple,CharlevoixDominusTriple,Blonde,Blonde,StrongPaleAle,Belgian,Ale,3.81,2225,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown500,,,,,,,,,,,,,,,,,,,
microbrasserie charlevoix,Dominus vobiscum-blanche,CharlevoixDominusBlanche,BlancheBle,Witbier,Witbier,,Ale,3.71,2454,12,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbrasserie charlevoix,IPA,CharlevoixIPA,IPABelge,IPA,PaleAle,Belgian,Ale,3.63,809,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown500,,,,,,,,,,,,,,,,,,,
Microbrasserie charlevoix,Imperiale Stout,CharlevoixImperialeStout,MilkStout,MilkStout,Stout,,Ale,3.89,4852,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbrasserie des Beaux Prés,Grosse-Île,MBPGrosseIle,Rousse,Rousse,Rousse,Irish,Ale,3.51,144,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbrasserie Dieu Du Ciel,Blanche du paradis,DDCBlanche du paradis,Blanche,Witbier,Witbier,Belgian,Ale,3.68,6432,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ÉCHANTILLON PERDU, À REFAIRE",,,,,,,,,,,,,,,,,,,
Microbrasserie Dieu Du Ciel,Corne du diable,DDCCorneduDiable,IPA,IPA,PaleAle,English,Ale,3.67,8969,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Microbrasserie Dieu Du Ciel,Équinoxe du printemps,DDCEquinoxeduPrintemps,WeeHeavy,Scotch,StrongPaleAle,Scotish,Ale,3.8,8565,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Microbrasserie Dieu Du Ciel,Moralité,DDCMoralite,APA,APA,PaleAle,American,Ale,4.03,17007,100,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Microbrasserie Dieu Du Ciel,P'tit blanc,DDCPtitbBlanc,BlancheBle,Witbier,Witbier,,Ale,3.53,2036,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbrasserie Dieu Du Ciel,Pénombre,DDCPenombre,BlackIPA,IPA,PaleAle,,Ale,3.71,4689,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
Microbrasserie Dieu Du Ciel,Rigor mortis,DDCRigorMortis,Quadrupel,Quadrupel,StrongDarkAle,Belgian,Ale,3.89,12625,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown341,,,,,,,,,,,,,,,,,,,
